MYSQL,DATABRICKS
tinyint,BIGINT
smallint,BIGINT
mediumint,BIGINT
int,BIGINT
integer,BIGINT
bigint,BIGINT
decimal,DOUBLE
numeric,DOUBLE
float,DOUBLE
double,DOUBLE
double precision,DOUBLE
bit,BOOLEAN
boolean,BOOLEAN
char,STRING
varchar,STRING
text,STRING
tinytext,STRING
mediumtext,STRING
longtext,STRING
binary,BINARY
varbinary,BINARY
blob,BINARY
tinyblob,BINARY
mediumblob,BINARY
longblob,BINARY
date,DATE
datetime,TIMESTAMP
timestamp,TIMESTAMP
time,STRING
year,INT
json,STRING
enum,STRING
set,STRING
