MYSQL,SNOWFLAKE
int,NUMBER(10,0)
bigint,NUMBER(19,0)
smallint,NUMBER(5,0)
tinyint,NUMBER(3,0)
mediumint,NUMBER(10,0)
varchar,VARCHAR
char,CHAR
text,VARCHAR
mediumtext,VARCHAR
longtext,VARCHAR
tinytext,VARCHAR
bit,BOOLEAN
boolean,BOOLEAN
decimal,NUMBER(38,18)
numeric,NUMBER(38,18)
float,FLOAT
double,FLOAT
real,FLOAT
date,DATE
datetime,TIMESTAMP_NTZ
timestamp,TIMESTAMP_NTZ
time,TIME
year,NUMBER(4,0)
blob,BINARY
mediumblob,BINARY
longblob,BINARY
tinyblob,BINARY
binary,BINARY
varbinary,BINARY
json,VARIANT
enum,VARCHAR
set,VARCHAR
