SAPSQLSERVER,SNOWFLAKE
int,"NUMBER(10,0)"
bigint,"NUMBER(19,0)"
smallint,"NUMBER(5,0)"
tinyint,"NUMBER(3,0)"
varchar,VARCHAR
nvarchar,VARCHAR
char,CHAR
nchar,CHAR
text,VARCHAR
ntext,VARCHAR
bit,BOOLEAN
decimal,"NUMBER(38,18)"
numeric,"NUMBER(38,18)"
money,"NUMBER(19,4)"
smallmoney,"NUMBER(10,4)"
float,FLOAT
real,FLOAT
date,DATE
datetime,timestamp
datetime,TIMESTAMP_NTZ
datetime2,timestamp
datetime2,TIMESTAMP_NTZ
smalldatetime,TIMESTAMP_NTZ
datetimeoffset,TIMESTAMP_TZ
time,TIME
varbinary,BINARY
binary,BINARY
image,BINARY
xml,VARIANT
json,VARIANT
